airportCode,airportName,cityCode,cityName,countryName,countryCode
PEQ,Pecos City,PEQ,Pecos City,United States,US
PER,Perth Intl.,PER,Perth,Australia,AU
PES,Petrozavodsk,PES,Petrozavodsk,Russian Federation,RU
PET,Federal,PET,Pelotas,Brazil,BR
PEU,Puerto Lempira,PEU,Puerto Lempira,Honduras,HN
PEW,Peshawar,PEW,Peshawar,Pakistan,PK
PEX,Pechora,PEX,Pechora,Russian Federation,RU
PEY,Penong,PEY,Penong,Australia,AU
PEZ,Penza,PEZ,Penza,Russian Federation,RU
PFA,Paf Warren,PFA,Paf Warren,United States,US
PFB,Passo Fundo,PFB,Passo Fundo,Brazil,BR
PFC,Pacific City State,PFC,"Pacific City, OH",United States,US
PFD,Port Frederick,PFD,Port Frederick,United States,US
PFJ,Patreksfjordur,PFJ,Patreksfjordur,Iceland,IS
PFN,Bay County,PFN,Panama City,United States,US
PFO,Intl.,PFO,Paphos,Cyprus,CY
PFR,Ilebo,PFR,Ilebo,Zaire,ZR
PGA,Page,PGA,Page,United States,US
PGB,Pangoa,PGB,Pangoa,Papua New Guinea,PG
PGC,Grant County,PGC,Petersburg,United States,US
PGD,Charlotte County,PGD,Punta Gorda,United States,US
PGE,Yegepa,PGE,Yegepa,Papua New Guinea,PG
PGF,Llabanere,PGF,Perpignan,France,FR
PGG,Progresso,PGG,Sao Paulo,Brazil,BR
PGH,Pantnagar,PGH,Pantnagar,India,IN
PGI,Chitato,PGI,Chitato,Angola,AO
PGK,Pangkalpinang,PGK,Pangkalpinang,Indonesia,ID
PGM,Port Graham,PGM,Port Graham,United States,US
PGN,Pangia,PGN,Pangia,Papua New Guinea,PG
PGP,Porto Alegre,PGP,Porto Alegre,Sao Tome and Principe,ST
PGR,Municipal,PGR,Paragould,United States,US
PGS,Peach Springs,PGS,Peach Springs,United States,US
PGV,Pitt-Greenville,PGV,Greenville,United States,US
PGX,Bassillac,PGX,Perigueux,France,FR
PHA,Phan Rang,PHA,Phan Rang,Viet Nam,VN
PHB,Santos Dumont,PHB,Parnaiba,Brazil,BR
PHC,Port Harcourt,PHC,Port Harcourt,Nigeria,NG
PHC,All Airports,PHC,Port Harcourt,Nigeria,NG
PHD,Harry Clever,PHD,New Philadelphia,United States,US
PHE,Port Hedland,PHE,Port Hedland,Australia,AU
PHF,Newport News/williamsb,PHF,Newport News,United States,US
PHG,Port Harcourt City,PHG,Port Harcourt,Nigeria,NG
PHH,Phan Thiet,PHH,Phan Thiet,Viet Nam,VN
PHI,Pinheiro,PHI,Pinheiro,Brazil,BR
PHJ,Port Hunter,PHJ,Port Hunter,Australia,AU
PHK,Palm Beach Co Glades,PHK,Pahokee,United States,US
PHL,Philadelphia Intl.,PHL,Philadelphia,United States,US
PHM,Boeblingen,PHM,Boeblingen,Germany,DE
PHN,St Clair County Intl,PHN,Port Huron,United States,US
PHO,Point Hope,PHO,Point Hope,United States,US
PHP,Philip,PHP,Philip,United States,US
PHR,Pacific Harbor,PHR,Pacific Harbor,Fiji,FJ
PHS,Phitsanulok,PHS,Phitsanulok,Thailand,TH
PHT,Henry County,PHT,Paris,United States,US
PHU,Phu Vinh,PHU,Phu Vinh,Viet Nam,VN
PHW,Cape Town,PHW,Phalaborwa,South Africa,ZA
PHX,Sky Harbor Intl,PHX,Phoenix,United States,US
PHX,All Airports,PHX,Phoenix,United States,US
